Company,ISIN
Spring Airlines Co Ltd,CNE100001V45
Mango Excellent Media Co Ltd,CNE100001Y83
China Shipbuilding Industry Group Power Co Ltd,CNE000001KB1
Beijing Tongrentang Co Ltd,CNE000000R69
Beijing Roborock Technology Co Ltd,CNE100003R80
Beijing New Building Materials Public Ltd Co,CNE000000QS4
Shenzhen New Industries Biomedical Engineering Co Ltd,CNE100003T39
Maxscend Microelectronics Co Ltd,CNE100003QK4
Hangzhou Tigermed Consulting Co Ltd,CNE100001KV8
ACM Research Shanghai Inc,CNE100004ZD8
COSCO Shipping Energy Transportation Co Ltd,CNE000001BD6
YTO Express Group Co Ltd,CNE0000012J8
Shanjin International Gold Co Ltd,CNE0000012L4
SDIC Capital Co Ltd,CNE000000Q11
Wingtech Technology Co Ltd,CNE000000M72
Pharmaron Beijing Co Ltd,CNE100003JW4
New Hope Liuhe Co Ltd,CNE000000VB0
China Jushi Co Ltd,CNE000000YM1
Sichuan Kelun Pharmaceutical Co Ltd,CNE100000PW7
SG Micro Corp,CNE100002NT4
Xinjiang Daqo New Energy Co Ltd,CNE100004P24
Hangzhou Silan Microelectronics Co Ltd,CNE000001DN1
Shanghai RAAS Blood Products Co Ltd,CNE100000C31
Zhongtai Securities Co Ltd,CNE100004900
Dongfang Electric Corp Ltd,CNE000000J28
China National Chemical Engineering Co Ltd,CNE100000KC0
Flat Glass Group Co Ltd,CNE100003HV0
Shandong Nanshan Aluminium Co Ltd,CNE000001139
Shandong Hualu-Hengsheng Chemical Co Ltd,CNE000001BM7
Zhejiang Jingsheng Mechanical & Electrical Co Ltd,CNE100001DJ8
LB Group Co Ltd,CNE1000015M3
JA Solar Technology Co Ltd,CNE100000SD1
Hainan Airport Infrastructure Co Ltd,CNE000001C32
Tongling Nonferrous Metals Group Co Ltd,CNE000000529
Gotion High tech Co Ltd,CNE000001NY7
Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,CNE000001733
FAW Jiefang Group Co Ltd,CNE000000R85
Changchun High-Tech Industry Group Co Ltd,CNE0000007J8
Shanxi Coking Coal Energy Group Co Ltd,CNE0000013Y5
Beijing Tiantan Biological Products Corp Ltd,CNE000000WF9
Ninestar Corp,CNE1000007W9
Oppein Home Group Inc,CNE100002RB3
Guangzhou Tinci Materials Technology Co Ltd,CNE100001RG4
Hongta Securities Co Ltd,CNE100003PY7
CSI Solar Co Ltd,CNE100006KH6
Hangzhou First Applied Material Co Ltd,CNE100001VX1
Trina Solar Co Ltd,CNE100003ZR0
Shanxi LuAn Environmental Energy Dev Co Ltd,CNE000001NT7
TCL Zhonghuan Renewable Energy Technology Co Ltd,CNE1000000B8
Wuxi Lead Intelligent Equipment Co Ltd,CNE100001ZF9
37 Interactive Entertainment Network Technology Group Co Ltd,CNE1000010N2
Shanghai Putailai New Energy Technology Co Ltd,CNE100002TX3
Changzhou Xingyu Automotive Lighting Systems Co Ltd,CNE1000011H2
Yunnan Energy New Material Co Ltd,CNE100002BR3
Beijing Oriental Yuhong Waterproof Technology Co Ltd,CNE100000CS3
Hualan Biological Engineering Inc,CNE000001JN8
