Adjustment,Date,Company,ISIN
+,2018-06-11,CN Ptrlum Eng,CNE000001642
-,2018-06-11,COMEC,CNE000000BP2
+,2018-06-11,COSL,CNE100000759
-,2018-06-11,CVTE,CNE100002K47
+,2018-06-11,FangDa Carbon,CNE000001CC6
+,2018-06-11,GAC Group,CNE100001NQ2
-,2018-06-11,GZBL,CNE100000PY3
+,2018-06-11,HAI TIAN,CNE100001SL2
-,2018-06-11,Haige Commns,CNE100000T24
-,2018-06-11,Hainan Rubber,CNE100000YM0
+,2018-06-11,HLA GROUP,CNE0000016H3
+,2018-06-11,HLGF,CNE0000018V0
+,2018-06-11,HN Hydropower,CNE100002T71
+,2018-06-11,Hoshine Silicon,CNE100002V10
+,2018-06-11,HTGD,CNE000001FQ9
+,2018-06-11,Intretech,CNE1000033H6
+,2018-06-11,KCT,CNE1000018P0
+,2018-06-11,Lens,CNE100001YW7
-,2018-06-11,Linglong Tyre,CNE100002GM3
+,2018-06-11,Macalline,CNE100002RX7
-,2018-06-11,Northeast Secs,CNE0000004H9
-,2018-06-11,Ourpalm,CNE100001DH2
-,2018-06-11,Protrully,CNE000000RC6
+,2018-06-11,RSPC,CNE100000W60
+,2018-06-11,Sanhua,CNE000001M22
-,2018-06-11,SEALAND SEC,CNE0000008K4
-,2018-06-11,SH Elec Power,CNE000001G53
-,2018-06-11,Shanghai Bailian,CNE000000CB0
+,2018-06-11,Shanxi Fen Wine,CNE000000DH5
-,2018-06-11,Sinopec SSC,CNE000000HS3
+,2018-06-11,THDB,CNE000000H87
+,2018-06-11,Tongwei,CNE000001GS3
-,2018-06-11,TRIANGLE TYRE,CNE100002GN1
-,2018-06-11,VictoryPrecision,CNE100000Q01
+,2018-06-11,Wanfeng Auto,CNE000001PF1
-,2018-06-11,Xinwei Group,CNE000001FK2
-,2018-06-11,YOOZOO,CNE1000007K4
-,2018-06-11,Yuto Packaging,CNE100002H00
