Date,Company,ISIN,Ri (%),Rf (%),Size,Value,ESG Score,ESGC Score
2020-01-31,Tele2 AB,SE0005190238,,1.55,,,,
2020-01-31,Deutsche Lufthansa AG,DE0008232125,,1.55,,,,
2020-01-31,Securitas AB,SE0000163594,,1.55,,,,
2020-01-31,Edenred SE,FR0010908533,,1.55,,,,
2020-01-31,Barratt Redrow PLC,GB0000811801,,1.55,,,,
2020-01-31,Schroders PLC,GB00BP9LHF23,,1.55,,,,
2020-01-31,Fastighets AB Balder,SE0017832488,,1.55,,,,
2020-01-31,Orion Oyj,FI0009014377,,1.55,,,,
2020-01-31,L E Lundbergforetagen AB (publ),SE0000108847,,1.55,,,,
2020-01-31,St James's Place PLC,GB0007669376,,1.55,,,,
2020-01-31,Kesko Oyj,FI0009000202,,1.55,,,,
2020-01-31,Weir Group PLC,GB0009465807,,1.55,,,,
2020-01-31,Flughafen Zuerich AG,CH0319416936,,1.55,,,,
2020-01-31,Elisa Oyj,FI0009007884,,1.55,,,,
2020-01-31,J Sainsbury PLC,GB00B019KW72,,1.55,,,,
2020-01-31,AAK AB (publ),SE0011337708,,1.55,,,,
2020-01-31,Gecina SA,FR0010040865,,1.55,,,,
2020-01-31,Scout24 SE,DE000A12DM80,,1.55,,,,
2020-01-31,Davide Campari Milano NV,NL0015435975,,1.55,,,,
2020-01-31,Yara International ASA,NO0010208051,,1.55,,,,
2020-01-31,Randstad NV,NL0000379121,,1.55,,,,
2020-01-31,Neste Oyj,FI0009013296,,1.55,,,,
2020-01-31,Spirax Group PLC,GB00BWFGQN14,,1.55,,,,
2020-01-31,A2A SpA,IT0001233417,,1.55,,,,
2020-01-31,KGHM Polska Miedz SA,PLKGHM000017,,1.55,,,,
2020-01-31,PSP Swiss Property AG,CH0018294154,,1.55,,,,
2020-01-31,Mondi PLC,GB00BMWC6P49,,1.55,,,,
2020-01-31,SalMar ASA,NO0010310956,,1.55,,,,
2020-01-31,Ackermans & Van Haaren NV,BE0003764785,,1.55,,,,
2020-01-31,Nibe Industrier AB,SE0015988019,,1.55,,,,
2020-01-31,DCC Plc,IE0002424939,,1.55,,,,
2020-01-31,Hargreaves Lansdown PLC,GB00B1VZ0M25,,1.55,,,,
2020-01-31,Hikma Pharmaceuticals PLC,GB00B0LCW083,,1.55,,,,
2020-01-31,Arkema SA,FR0010313833,,1.55,,,,
2020-01-31,Barry Callebaut AG,CH0009002962,,1.55,,,,
2020-01-31,Georg Fischer AG,CH1169151003,,1.55,,,,
2020-01-31,Rightmove PLC,GB00BGDT3G23,,1.55,,,,
2020-01-31,MERLIN Properties SOCIMI SA,ES0105025003,,1.55,,,,
2020-01-31,Phoenix Group Holdings PLC,GB00BGXQNP29,,1.55,,,,
2020-01-31,ConvaTec Group PLC,GB00BD3VFW73,,1.55,,,,
2020-01-31,Holmen AB,SE0011090018,,1.55,,,,
2020-01-31,M&G PLC,GB00BKFB1C65,,1.55,,,,
2020-01-31,Teleperformance SE,FR0000051807,,1.55,,,,
2020-01-31,Telecom Italia SpA,IT0003497168,,1.55,,,,
2020-01-31,Temenos AG,CH0012453913,,1.55,,,,
2020-01-31,Andritz AG,AT0000730007,,1.55,,,,
2020-01-31,IMI PLC,GB00BGLP8L22,,1.55,,,,
2020-01-31,Eurazeo SE,FR0000121121,,1.55,,,,
2020-01-31,Grifols SA,ES0171996087,,1.55,,,,
2020-01-31,Covivio SA,FR0000064578,,1.55,,,,
2020-01-31,Amplifon SpA,IT0004056880,,1.55,,,,
2020-01-31,Nexi SpA,IT0005366767,,1.55,,,,
2020-01-31,Entain PLC,IM00B5VQMV65,,1.55,,,,
2020-01-31,Spie SA,FR0012757854,,1.55,,,,
2020-01-31,Porsche Automobil Holding SE,DE000PAH0038,,1.55,,,,
2020-01-31,LEG Immobilien SE,DE000LEG1110,,1.55,,,,
2020-01-31,Whitbread PLC,GB00B1KJJ408,,1.55,,,,
2020-01-31,Howden Joinery Group PLC,GB0005576813,,1.55,,,,
2020-01-31,DiaSorin SpA,IT0003492391,,1.55,,,,
2020-01-31,Croda International PLC,GB00BJFFLV09,,1.55,,,,
2020-01-31,Fuchs Se,DE000A3E5D64,,1.55,,,,
2020-01-31,Hera SpA,IT0001250932,,1.55,,,,
2020-01-31,Kingfisher PLC,GB0033195214,,1.55,,,,
2020-01-31,Castellum AB,SE0000379190,,1.55,,,,
2020-01-31,Land Securities Group PLC,GB00BYW0PQ60,,1.55,,,,
2020-01-31,SEB SA,FR0000121709,,1.55,,,,
2020-01-31,JD Sports Fashion PLC,GB00BM8Q5M07,,1.55,,,,
2020-01-31,Unite Group PLC,GB0006928617,,1.55,,,,
2020-01-31,Kion Group AG,DE000KGX8881,,1.55,,,,
2020-01-31,Valmet Oyj,FI4000074984,,1.55,,,,
2020-01-31,Getinge AB,SE0000202624,,1.55,,,,
2020-01-31,Taylor Wimpey PLC,GB0008782301,,1.55,,,,
2020-01-31,Carl Zeiss Meditec AG,DE0005313704,,1.55,,,,
2020-01-31,Italgas SpA,IT0005211237,,1.55,,,,
2020-01-31,Storebrand ASA,NO0003053605,,1.55,,,,
2020-01-31,Warehouses de Pauw NV,BE0974349814,,1.55,,,,
2020-01-31,Elia Group SA,BE0003822393,,1.55,,,,
2020-01-31,Persimmon PLC,GB0006825383,,1.55,,,,
2020-01-31,Scor SE,FR0010411983,,1.55,,,,
2020-01-31,Burberry Group PLC,GB0031743007,,1.55,,,,
2020-01-31,Elis SA,FR0012435121,,1.55,,,,
2020-01-31,Berkeley Group Holdings PLC,GB00BP0RGD03,,1.55,,,,
2020-01-31,Tomra Systems ASA,NO0012470089,,1.55,,,,
2020-01-31,Ambu A/S,DK0060946788,,1.55,,,,
2020-01-31,Tritax Big Box Reit PLC,GB00BG49KP99,,1.55,,,,
2020-01-31,British Land Company PLC,GB0001367019,,1.55,,,,
2020-01-31,Galenica AG,CH0360674466,,1.55,,,,
2020-01-31,Wendel SE,FR0000121204,,1.55,,,,
2020-01-31,Hiscox Ltd,BMG4593F1389,,1.55,,,,
2020-01-31,Puma SE,DE0006969603,,1.55,,,,
2020-01-31,ISS A/S,DK0060542181,,1.55,,,,
2020-01-31,International Distribution Services PLC,GB00BDVZYZ77,,1.55,,,,
2020-01-31,Bechtle AG,DE0005158703,,1.55,,,,
2020-01-31,Direct Line Insurance Group PLC,GB00BY9D0Y18,,1.55,,,,
2020-01-31,Adecco Group AG,CH0012138605,,1.55,,,,
2020-01-31,Interpump Group SpA,IT0001078911,,1.55,,,,
2020-01-31,IG Group Holdings PLC,GB00B06QFB75,,1.55,,,,
2020-01-31,Huhtamaki Oyj,FI0009000459,,1.55,,,,
2020-01-31,Aalberts NV,NL0000852564,,1.55,,,,
2020-01-31,Clariant AG,CH0012142631,,1.55,,,,
